,모집단위(주택군),주택열람가능여부,광역지자체,기초지자체,주소,동,호,공급형,성별용도구분,전용면적,주거공용면적,면적계,방수,층,승강기,주택유형,청년 1순위_기본임대보증금,청년 1순위_기본월임대료,청년 1순위_상한임대보증금,청년 1순위_하한월임대료,청년 1순위_임대료하한기준액,청년 1순위_계약금,청년 1순위_잔금,청년 2·3순위_임대보증금,청년 2·3순위_월임대료,청년 2·3순위_상한임대보증금,청년 2·3순위_하한월임대료,청년 2·3순위_임대료하한기준액,청년 2·3순위_계약금,청년 2·3순위_잔금,비고,호관리번호
44,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 인주대로 51(숭의동) 더스테이프라임월드,,805,단독(1인),남여공용,34.8839,22.4349,57.3188,1,8층,Y,오피스텔,"1,000,000","223,120","23,900,000","89,530","89,240",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","271,830","29,900,000","109,080","108,730",기본임대보증금의 10%,임대보증금-계약금,,P28170A0043071
45,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 인주대로407번길 34(주안동) 주안희망타운,1,102,단독(1인),남여공용,14.51,4.05,18.56,1,1층,N,다가구주택,"1,000,000","88,260","9,300,000","39,840","39,580",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","103,690","12,600,000","41,850","41,470",기본임대보증금의 10%,임대보증금-계약금,,PRM05200030012
46,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 인주대로407번길 34(주안동) 주안희망타운,1,203,단독(1인),남여공용,14.51,4.05,18.56,1,2층,N,다가구주택,"1,000,000","92,570","10,000,000","40,070","39,580",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","109,090","13,200,000","43,750","43,630",기본임대보증금의 10%,임대보증금-계약금,,PRM05200030015
47,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 인주대로407번길 34-1(주안동) 주안희망타운,2,301,단독(1인),남여공용,17.47,6.36,23.83,1,3층,N,다가구주택,"1,000,000","113,810","12,700,000","45,560","45,520",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","135,360","15,900,000","54,270","54,140",기본임대보증금의 10%,임대보증금-계약금,,PRM05200040030
48,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 인주대로407번길 34-1(주안동) 주안희망타운,2,303,단독(1인),남여공용,17.47,6.37,23.84,1,3층,N,다가구주택,"1,000,000","113,860","12,700,000","45,610","45,540",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","135,420","15,900,000","54,330","54,160",기본임대보증금의 10%,임대보증금-계약금,,PRM05200040032
49,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 인하로164번길 9-1(용현동) 용현희망타운,2,302,단독(1인),남여공용,22.01,5.74,27.75,1,3층,N,다가구주택,"1,000,000","203,240","21,900,000","81,320","81,290",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","247,510","27,400,000","99,340","99,000",기본임대보증금의 10%,임대보증금-계약금,,P2817004100010
50,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 석정로92번길 113-12(숭의동) 숭의희망타운,2,202,단독(1인),남여공용,48.08,17.93,66.01,2,2층,Y,다세대주택,"1,000,000","376,430","39,700,000","150,680","150,570",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","461,490","49,400,000","184,990","184,590",기본임대보증금의 10%,임대보증금-계약금,,P28170A0043113
51,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,"인천광역시 미추홀구 경인로116번길 80(숭의동,J빌리지) J빌리지",,301,1형,남여공용,27.99,24.562,52.552,1,3층,Y,연립주택,"1,000,000","277,140","29,500,000","110,890","110,850",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","338,210","36,700,000","135,790","135,280",기본임대보증금의 10%,임대보증금-계약금,,P2817003712793
52,24-4 미추홀구,열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 한나루로463번길 24(용현동) 용현희망타운,1,301,단독(1인),남여공용,17.54,5.13,22.67,1,3층,N,다가구주택,"1,000,000","166,580","18,100,000","66,830","66,630",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","201,620","22,700,000","80,870","80,640",기본임대보증금의 10%,임대보증금-계약금,,P2817004110007
53,24-4 미추홀구(골든스테이트),열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 인주대로 332(주안동) 골든스테이트,,301,단독(1인),남여공용,22.01,29.1462,51.1562,1,3층,Y,혼합형,"1,000,000","195,620","21,100,000","78,370","78,240",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","236,400","26,300,000","94,650","94,560",기본임대보증금의 10%,임대보증금-계약금,,PRM05200080062
54,24-4 미추홀구(골든스테이트),열람불가(계약 전 주택 개방),인천광역시,미추홀구,인천광역시 미추홀구 인주대로 332(주안동) 골든스테이트,,306,단독(1인),남여공용,21.71,29.0678,50.7778,1,3층,Y,혼합형,"1,000,000","194,120","20,900,000","78,030","77,640",기본임대보증금의 10%,임대보증금-계약금,"2,000,000","234,550","26,100,000","93,960","93,820",기본임대보증금의 10%,임대보증금-계약금,,PRM05200080067
